Number	Score10
131130044	C
131130055	0
141010085	0
141120159	A
141130112	B-
141160029	0
141190021	A+
141220053	A
151110079	A
151140083	A
151160030	A+
151180107	B+
151180115	A+
151220012	B
151220030	A+
151220037	A
151220050	A-
151220060	A
151220061	A-
151220065	A+
151220102	A-
151220111	A-
151220120	A-
151220122	A+
151220128	A
151220133	A-
151220166	B+
151220176	0
151242002	B+
151242011	A+
151242012	A
151242031	A-
151242032	A+
151242033	A+
151242035	A-
151242041	A+
151242060	A-
151242062	A+
151250177	A

